Parque distribuido por tipo de vehículo, carburante y año de matriculación.
Comunidad Autónoma/Provincia residencia: Madrid (Comunidad de)/Madrid
Tipo de Vehículo: AUTOBUSES, CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, CICLOMOTORES, CUATRICICLOS LIGEROS, FURGONETAS, MOTOCICLETAS, OTROS VEHÍCULOS, REMOLQUES, SEMIRREMOLQUES, TRACTORES INDUSTRIALES, TURISMOS
Carburante: Otros, Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel
Antigüedad Matriculación: 2014, 2015, 2016, 2017, 2018, 2019, 2020

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Antigüedad Matriculación;Total
Madrid (Comunidad de)/Madrid;TURISMOS;Eléctrico;2020;6592
Madrid (Comunidad de)/Madrid;TURISMOS;Etanol;2014;1
Madrid (Comunidad de)/Madrid;TURISMOS;Etanol;2017;3
Madrid (Comunidad de)/Madrid;TURISMOS;Gas Licuado de Petroleo;2014;430
Madrid (Comunidad de)/Madrid;TURISMOS;Gas Licuado de Petroleo;2015;984
Madrid (Comunidad de)/Madrid;TURISMOS;Gas Licuado de Petroleo;2016;598
Madrid (Comunidad de)/Madrid;TURISMOS;Gas Licuado de Petroleo;2017;1859
Madrid (Comunidad de)/Madrid;TURISMOS;Gas Licuado de Petroleo;2018;6886
Madrid (Comunidad de)/Madrid;TURISMOS;Gas Licuado de Petroleo;2019;10496
Madrid (Comunidad de)/Madrid;TURISMOS;Gas Licuado de Petroleo;2020;4525
Madrid (Comunidad de)/Madrid;TURISMOS;Gas Natural Comprimido;2014;51
Madrid (Comunidad de)/Madrid;TURISMOS;Gas Natural Comprimido;2015;131
Madrid (Comunidad de)/Madrid;TURISMOS;Gas Natural Comprimido;2016;128
Madrid (Comunidad de)/Madrid;TURISMOS;Gas Natural Comprimido;2017;553
Madrid (Comunidad de)/Madrid;TURISMOS;Gas Natural Comprimido;2018;2000
Madrid (Comunidad de)/Madrid;TURISMOS;Gas Natural Comprimido;2019;3198
Madrid (Comunidad de)/Madrid;TURISMOS;Gas Natural Comprimido;2020;1739
Madrid (Comunidad de)/Madrid;TURISMOS;Gas Natural Licuado;2015;2
Madrid (Comunidad de)/Madrid;TURISMOS;Gas Natural Licuado;2017;3
Madrid (Comunidad de)/Madrid;TURISMOS;Gas Natural Licuado;2019;5
Madrid (Comunidad de)/Madrid;TURISMOS;Gas Natural Licuado;2020;9
Madrid (Comunidad de)/Madrid;TURISMOS;Gasolina;2014;36840
Madrid (Comunidad de)/Madrid;TURISMOS;Gasolina;2015;52216
Madrid (Comunidad de)/Madrid;TURISMOS;Gasolina;2016;71326
Madrid (Comunidad de)/Madrid;TURISMOS;Gasolina;2017;91590
Madrid (Comunidad de)/Madrid;TURISMOS;Gasolina;2018;120844
Madrid (Comunidad de)/Madrid;TURISMOS;Gasolina;2019;146412
Madrid (Comunidad de)/Madrid;TURISMOS;Gasolina;2020;128847
Madrid (Comunidad de)/Madrid;TURISMOS;Hidrógeno;2018;3
Madrid (Comunidad de)/Madrid;TURISMOS;Hidrógeno;2019;17
Madrid (Comunidad de)/Madrid;TURISMOS;Hidrógeno;2020;13
Madrid (Comunidad de)/Madrid;TURISMOS;Otros;2014;4
Madrid (Comunidad de)/Madrid;TURISMOS;Otros;2015;3
Madrid (Comunidad de)/Madrid;TURISMOS;Otros;2016;4
Madrid (Comunidad de)/Madrid;TURISMOS;Otros;2017;10
Madrid (Comunidad de)/Madrid;TURISMOS;Otros;2018;19
Madrid (Comunidad de)/Madrid;TURISMOS;Otros;2019;23
Madrid (Comunidad de)/Madrid;TURISMOS;Otros;2020;23
Madrid (Comunidad de)/Madrid;TURISMOS;Sin especificar;2014;1
Madrid (Comunidad de)/Madrid;TURISMOS;Sin especificar;2015;6
Madrid (Comunidad de)/Madrid;TURISMOS;Sin especificar;2016;2
Madrid (Comunidad de)/Madrid;TURISMOS;Sin especificar;2017;6
Madrid (Comunidad de)/Madrid;TURISMOS;Sin especificar;2018;6
Madrid (Comunidad de)/Madrid;TURISMOS;Sin especificar;2019;10
Madrid (Comunidad de)/Madrid;TURISMOS;Sin especificar;2020;4
