Parque distribuido por tipo de vehículo, carburante y año de matriculación.
Comunidad Autónoma/Provincia residencia: Madrid (Comunidad de)/Madrid
Tipo de Vehículo: AUTOBUSES, CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, CICLOMOTORES, CUATRICICLOS LIGEROS, FURGONETAS, MOTOCICLETAS, OTROS VEHÍCULOS, REMOLQUES, SEMIRREMOLQUES, TRACTORES INDUSTRIALES, TURISMOS
Carburante: Otros, Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel
Antigüedad Matriculación: 2014, 2015, 2016, 2017, 2018, 2019, 2020

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Antigüedad Matriculación;Total
TOTAL;CAMIONES MÁS DE 3500kg;Eléctrico;2018;3
TOTAL;CAMIONES MÁS DE 3500kg;Eléctrico;2019;12
TOTAL;CAMIONES MÁS DE 3500kg;Eléctrico;2020;1
TOTAL;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;TOTAL;55
TOTAL;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2014;3
TOTAL;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2015;7
TOTAL;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2016;4
TOTAL;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2017;9
TOTAL;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2018;3
TOTAL;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2019;9
TOTAL;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2020;20
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;TOTAL;748
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2014;5
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2015;18
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2016;149
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2017;269
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2018;54
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2019;157
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2020;96
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Licuado;TOTAL;55
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Licuado;2014;4
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Licuado;2015;1
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Licuado;2016;4
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Licuado;2017;5
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Licuado;2018;15
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Licuado;2019;11
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Licuado;2020;15
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;TOTAL;19
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2014;1
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2015;1
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2016;8
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2017;5
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2018;2
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2019;1
TOTAL;CAMIONES MÁS DE 3500kg;Gasolina;2020;1
TOTAL;CICLOMOTORES;TOTAL;TOTAL;12973
TOTAL;CICLOMOTORES;Diesel;TOTAL;1182
TOTAL;CICLOMOTORES;Diesel;2014;52
TOTAL;CICLOMOTORES;Diesel;2015;80
TOTAL;CICLOMOTORES;Diesel;2016;137
TOTAL;CICLOMOTORES;Diesel;2017;182
TOTAL;CICLOMOTORES;Diesel;2018;232
TOTAL;CICLOMOTORES;Diesel;2019;252
TOTAL;CICLOMOTORES;Diesel;2020;247
TOTAL;CICLOMOTORES;Eléctrico;TOTAL;2402
TOTAL;CICLOMOTORES;Eléctrico;2014;35
TOTAL;CICLOMOTORES;Eléctrico;2015;39
TOTAL;CICLOMOTORES;Eléctrico;2016;125
TOTAL;CICLOMOTORES;Eléctrico;2017;295
TOTAL;CICLOMOTORES;Eléctrico;2018;658
TOTAL;CICLOMOTORES;Eléctrico;2019;843
TOTAL;CICLOMOTORES;Eléctrico;2020;407
TOTAL;CICLOMOTORES;Gasolina;TOTAL;9387
TOTAL;CICLOMOTORES;Gasolina;2014;826
TOTAL;CICLOMOTORES;Gasolina;2015;1207
TOTAL;CICLOMOTORES;Gasolina;2016;1464
TOTAL;CICLOMOTORES;Gasolina;2017;1787
TOTAL;CICLOMOTORES;Gasolina;2018;1327
TOTAL;CICLOMOTORES;Gasolina;2019;1332
TOTAL;CICLOMOTORES;Gasolina;2020;1444
TOTAL;CICLOMOTORES;Sin especificar;TOTAL;2
TOTAL;CICLOMOTORES;Sin especificar;2020;2
TOTAL;FURGONETAS;TOTAL;TOTAL;187541
TOTAL;FURGONETAS;Butano;TOTAL;1
TOTAL;FURGONETAS;Butano;2019;1
TOTAL;FURGONETAS;Diesel;TOTAL;167710
TOTAL;FURGONETAS;Diesel;2014;8258
TOTAL;FURGONETAS;Diesel;2015;11951
TOTAL;FURGONETAS;Diesel;2016;14987
TOTAL;FURGONETAS;Diesel;2017;20709
TOTAL;FURGONETAS;Diesel;2018;32412
TOTAL;FURGONETAS;Diesel;2019;41130
TOTAL;FURGONETAS;Diesel;2020;38263
TOTAL;FURGONETAS;Eléctrico;TOTAL;2485
TOTAL;FURGONETAS;Eléctrico;2014;31
TOTAL;FURGONETAS;Eléctrico;2015;78
TOTAL;FURGONETAS;Eléctrico;2016;206
TOTAL;FURGONETAS;Eléctrico;2017;252
TOTAL;FURGONETAS;Eléctrico;2018;524
TOTAL;FURGONETAS;Eléctrico;2019;702
TOTAL;FURGONETAS;Eléctrico;2020;692
TOTAL;FURGONETAS;Gas Licuado de Petroleo;TOTAL;4551
TOTAL;FURGONETAS;Gas Licuado de Petroleo;2014;28
TOTAL;FURGONETAS;Gas Licuado de Petroleo;2015;100
TOTAL;FURGONETAS;Gas Licuado de Petroleo;2016;124
