CODIGO;NOMBRE CRUCE;TRAMO;SENTIDO;DESDE;HASTA;LATITUD;LONGITUD
4020638; C. NARVAEZ;Avenida Felipe II-Jorge Juan;Jorge Juan;30/10/2019;06/11/2019;40,4237;-3,67583
4020639; C. NARVAEZ;Avenida Felipe II-Jorge Juan;Avenida Felipe II;30/10/2019;06/11/2019;40,42355;-3,67578
4020736; C. PRINCIPE DE VERGARA;Hermosilla-Ayala;Ayala;30/10/2019;06/11/2019;40,42655;-3,67996
4020737; C. PRINCIPE DE VERGARA;Hermosilla-Ayala;Hermosilla;30/10/2019;06/11/2019;40,42659;-3,67993
4021155; C. ALCALA;Jorge Juan-Lope de Rueda;Jorge Juan;21/05/2019;28/05/2019;40,42373;-3,67818
4021156; C. ALCALA;Jorge Juan-Lope de Rueda;Lope de Rueda;21/05/2019;28/05/2019;40,4237;-3,67815
4021311;Lateral C. DOCTOR ESQUERDO;Duque de Sesto-O'Donnell;O'Donnell;20/06/2019;27/06/2019;40,42227;-3,66898
4021314;Tunel C. DOCTOR ESQUERDO;Duque de Sesto-O'Donnell;O'Donnell;04/06/2019;11/06/2019;40,42227;-3,66898
4021657; C. ANTONIO ACUNA;Duque de Sesto-O`Donnell;O'Donnell;20/06/2019;27/06/2019;40,42241;-3,67893
4021710; C. AYALA;Calle del General D¡az Porlier-CALLE DEL CONDE DE PE¥ALVER;Calle del General D¡az Porlier;26/06/2019;03/07/2019;40,42737;-3,67662
4021969; C. DUQUE DE SESTO;Lope de Rueda-Narvaez;Lope de Rueda;18/07/2019;25/07/2019;40,42245;-3,67633
4031312;Lateral C. DOCTOR ESQUERDO;Duque de Sesto-O'Donnell;Duque de Sesto;04/06/2019;11/06/2019;40,42226;-3,6688
4031313;Tunel C. DOCTOR ESQUERDO;Duque de Sesto-O'Donnell;Duque de Sesto;04/06/2019;11/06/2019;40,42226;-3,6688
4041238; C. CARTAGENA;Martinez Izquierdo-Azcona;Azcona;28/05/2019;04/06/2019;40,43367;-3,67043
4041239; C. CARTAGENA;Martinez Izquierdo-Azcona;Martinez Izquierdo;28/05/2019;04/06/2019;40,43367;-3,67043
4041712; C. AZCONA;Francisco Silvela-Ardemans;Francisco Silvela;26/06/2019;03/07/2019;40,43314;-3,67167
4041763; Av. CAMILO JOSE CELA;C MARQUES DE AHUMADA-C FRANCISCO REMIRO;C MARQUES DE AHUMADA;28/06/2019;05/07/2019;40,43725;-3,6675
4041764; Av. CAMILO JOSE CELA;C MARQUES DE AHUMADA-C FRANCISCO REMIRO;C FRANCISCO REMIRO;28/06/2019;05/07/2019;40,43725;-3,6675
4042073; Av. GUINDALERA;Avenida de Bruselas-Avenida de Camilo Jose Cela;Avenida de Camilo Jose Cela;24/07/2019;31/07/2019;40,44125;-3,66418
4042074; Av. GUINDALERA;Avenida de Bruselas-Avenida de Camilo Jose Cela;Avenida de Bruselas;24/07/2019;31/07/2019;40,44125;-3,66418
4050423;Carril bus C. FRANCISCO SILVELA;Jose Ortega y Gasset-Plaza de Manuel Becerra;Jose Ortega y Gasset;27/11/2019;04/12/2019;40,4293;-3,66983
4051963; C. DON RAMON DE LA CRUZ;Alcantara-Montesa;Montesa;18/07/2019;25/07/2019;40,42861;-3,67331
4052043; C. GENERAL PARDINAS;General Oraa-Diego de Leon;Diego de Leon;18/07/2019;25/07/2019;40,43556;-3,67781
4052045; C. GENERAL PARDINAS;Jose Ortega y Gasset-Padilla;Jose Ortega y Gasset;18/07/2019;25/07/2019;40,4307;-3,67862
4052801; C. CONDE DE PEÑALVER;Padilla-Juan Bravo;Padilla;28/11/2019;05/12/2019;40,43206667;-3,675116667
4052802; C. CONDE DE PEÑALVER;Padilla-Juan Bravo;Juan Bravo;28/11/2019;05/12/2019;40,43206667;-3,675116667
4060279;Lateral Paseo. CASTELLANA;Paseo de Eduardo Dato-Jenner;Jenner;29/10/2019;05/11/2019;40,4322;-3,68827
4060280;Lateral Paseo. CASTELLANA;Paseo de Eduardo Dato-Jenner;Paseo de Eduardo Dato;29/10/2019;05/11/2019;40,43207;-3,68824
4060316; C. CONDE DE PENALVER;Juan Bravo-Maldonado;Juan Bravo;05/11/2019;12/11/2019;40,43292;-3,67958
4060354; C. DIEGO DE LEON;Claudio Coello-Lagasca;Claudio Coello;05/11/2019;12/11/2019;40,43503;-3,68492
4060355; C. DIEGO DE LEON;Claudio Coello-Lagasca;Lagasca;05/11/2019;12/11/2019;40,43503;-3,68492
4060497; C. HERMANOS BECQUER;General Oraa-Serrano;Serrano;05/11/2019;12/11/2019;40,43595;-3,68719
4060498; C. HERMANOS BECQUER;General Oraa-Serrano;General Oraa;05/11/2019;12/11/2019;40,43588;-3,6871
4060499;Tunel C. HERMANOS BECQUER;General Oraa-Serrano;General Oraa;31/10/2019;07/11/2019;40,43595;-3,68719
4060500;Tunel C. HERMANOS BECQUER;General Oraa-Serrano;Serrano;31/10/2019;07/11/2019;40,43595;-3,68726
4060536; C. JOSE ORTEGA Y GASSET;La Castellana (P§)-Serrano;La Castellana (P§);05/11/2019;12/11/2019;40,4304;-3,68767
4060538;Lateral C. JOSE ORTEGA Y GASSET;La Castellana (P§)-Serrano;Serrano;30/10/2019;06/11/2019;40,43048;-3,68823
4060544; C. JUAN BRAVO;Nunez de Balboa-Castello;Castello;30/10/2019;06/11/2019;40,4326;-3,6815
4060545; C. JUAN BRAVO;Nunez de Balboa-Castello;Nunez de Balboa;30/10/2019;06/11/2019;40,4326;-3,6815
4060590;Lateral C. MARIA DE MOLINA;Lagasca-Velazquez;Lopez de Hoyos;04/02/2019;11/02/2019;40,4376;-3,68358
4060818; C. SERRANO;Juan Bravo-Padilla;Padilla;04/04/2019;11/04/2019;40,43255;-3,68685
4060865;Lateral izq. C. VELAZQUEZ;General Oraa-Maria de Molina;Maria de Molina;31/10/2019;07/11/2019;40,4362;-3,68315
4060866;Tunel C. VELAZQUEZ;General Oraa-Maria de Molina;Maria de Molina;31/10/2019;07/11/2019;40,4362;-3,68315
4060867;Lateral der. C. VELAZQUEZ;General Oraa-Maria de Molina;Maria de Molina;31/10/2019;07/11/2019;40,43624;-3,68313
4060926;Central Paseo. Paseo de la Castellana;Paseo de Eduardo Dato-Jenner;Paseo de Eduardo Dato;03/11/2019;10/11/2019;40,432;-3,68863
4061307; C. DIEGO DE LEON;Castello-Nunez de Balboa;Castello;04/06/2019;11/06/2019;40,43482;-3,68135
4061308; C. DIEGO DE LEON;Castello-Nunez de Balboa;Nunez de Balboa;04/06/2019;11/06/2019;40,43482;-3,68135
4061418;Tunel C. MARIA DE MOLINA;Paseo de la Castellana-Maria de Molina;Paseo de la Castellana;31/10/2019;07/11/2019;40,43777;-3,68633
4061422;Tunel C. MARIA DE MOLINA;Plaza del Doctor Maranon-Salas;Salas;12/06/2019;19/06/2019;40,4379;-3,68925
4061422;Tunel C. MARIA DE MOLINA;Plaza del Doctor Maranon-Salas;Salas;19/06/2019;26/06/2019;40,4379;-3,68925
4061423;Lateral C. MARIA DE MOLINA;Plaza del Doctor Maranon-Salas;Salas;12/06/2019;19/06/2019;40,4379;-3,68925
4061520; C. PRINCIPE DE VERGARA;General Oraa-Maria de Molina;Maria de Molina;12/06/2019;19/06/2019;40,43686;-3,67929
4061521; C. PRINCIPE DE VERGARA;General Oraa-Maria de Molina;General Oraa;12/06/2019;19/06/2019;40,43683;-3,67926
4061565; C. SERRANO;Diego de Leon-Maldonado;Maldonado;27/03/2019;03/04/2019;40,43404;-3,68675
4061566; C. SERRANO;General Oraa-Diego de Leon;Diego de Leon;21/06/2019;28/06/2019;40,43562;-3,68638
4061568; C. SERRANO;Jose Ortega y Gasset-Don Ramon de la Cruz;Don Ramon de la Cruz;21/06/2019;28/06/2019;40,42975;-3,68721
4061571; C. SERRANO;Padilla-Jose Ortega y Gasset;Jose Ortega y Gasset;20/03/2019;27/03/2019;40,4311;-3,68694
4061590; C. VELAZQUEZ;Juan Bravo-Maldonado;Maldonado;01/04/2019;08/04/2019;40,43332;-3,68352
4061593; C. VELAZQUEZ;Padilla-Juan Bravo;Juan Bravo;28/06/2019;05/07/2019;40,43184;-3,68359
4062300; C. PADILLA;Castello-Principe de Vergara;Principe de Vergara;05/11/2019;12/11/2019;40,43137;-3,68015
5010284;Lateral Paseo. CASTELLANA;Plaza Doctor Maranon-Plaza San Juan de la Cruz;Plaza San Juan de la Cruz;14/05/2019;21/05/2019;40,43981;-3,69128
5010591;Lateral C. MARIA DE MOLINA;Lagasca-Velazquez;Velazquez;28/01/2019;04/02/2019;40,43771;-3,68362
5010733;Paso Elevado C. PRINCIPE DE VERGARA;Canillas-Luis Cabrera;Luis Cabrera;28/01/2019;04/02/2019;40,44043;-3,679
5010734;Lateral C. PRINCIPE DE VERGARA;Canillas-Luis Cabrera;Canillas;28/01/2019;04/02/2019;40,44003;-3,67896
5010740; C. PRINCIPE DE VERGARA;Plaza de Cataluna-Avenida de Ramon y Cajal;Avenida de Ramon y Cajal;17/05/2019;24/05/2019;40,45056;-3,67775
5010741; C. PRINCIPE DE VERGARA;Plaza de Cataluna-Avenida de Ramon y Cajal;Plaza de Cataluna;17/05/2019;24/05/2019;40,45052;-3,67774
5010819; C. SERRANO;Pedro de Valdivia-Maria de Molina;Maria de Molina;28/01/2019;04/02/2019;40,43864;-3,68626
5010822; C. SERRANO;Tambre-Guadalquivir;Guadalquivir;25/03/2019;01/04/2019;40,44655;-3,68463
5010868; C. VELAZQUEZ;Joaquin Costa-Rodriguez Marin;Rodriguez Marin;25/03/2019;01/04/2019;40,44401;-3,6824
5011250;Lateral Paseo. CASTELLANA;Jorge Manrique-Carbonero y Sol;Carbonero y Sol;28/05/2019;04/06/2019;40,44458;-3,69145
5011371;Tunel C. JOAQUIN COSTA;Balbina Valverde-Plaza de la Republica Argentina;Balbina Valverde;06/06/2019;13/06/2019;40,44608;-3,68651
5011372;Tunel C. JOAQUIN COSTA;Balbina Valverde-Plaza de la Republica Argentina;Plaza de la Republica Argentina;06/06/2019;13/06/2019;40,44604;-3,6864
5011373;Lateral C. JOAQUIN COSTA;Balbina Valverde-Plaza de la Republica Argentina;Balbina Valverde;06/06/2019;13/06/2019;40,44613;-3,6867
5011374;Lateral C. JOAQUIN COSTA;Balbina Valverde-Plaza de la Republica Argentina;Plaza de la Republica Argentina;06/06/2019;13/06/2019;40,446;-3,6863
