NOMBRE CRUCE;TRAMO;SENTIDO;DESDE;HASTA;LATITUD;LONGITUD;CODIGO
 C. GENERAL ROMERO BASART;Rafael Finat-José de Cadalso;José de Cadalso;24/01/2018;30/01/2018;40,37708333;-3,76965;10073023
 C. GENERAL SALIQUET;Valle Inclán-Aldeanueva de la Vera;Aldeanueva de la Vera;12/04/2018;19/04/2018;40,37675;-3,7757;10073026
 C. JOSE DE CADALSO;Avenida del General Fanjul-Valle Inclán;Valle Inclán;12/04/2018;19/04/2018;40,38055;-3,771783333;10073108
 C. JOSE DE CADALSO;Avenida del General Fanjul-Valle Inclán;Avenida del General Fanjul;12/04/2018;19/04/2018;40,38055;-3,771783333;10073109
 C. OLIVA DE PLASENCIA;Aldeanueva de la Vera-General Romero Basart;General Romero Basart;24/01/2018;31/01/2018;40,37933333;-3,775566667;10073229
 C. OLIVA DE PLASENCIA;Aldeanueva de la Vera-General Romero Basart;Aldeanueva de la Vera;24/01/2018;31/01/2018;40,37933333;-3,775566667;10073230
 C. ANTONIO LOPEZ;Fuenlabrada-Baleares;Jacinto Verdaguer;24/01/2018;31/01/2018;40,39674;-3,71364;11010035
 C. ANTONIO LOPEZ;Fuenlabrada-Baleares;Glorita Marques de Vadillo;24/01/2018;31/01/2018;40,39703;-3,7142;11010036
 C. ANTONIO LOPEZ;Parador del Sol-Marques de Jura Real;Marques de Jura Real;24/01/2018;31/01/2018;40,39442;-3,7086;11010037
 C. ANTONIO LOPEZ;Parador del Sol-Marques de Jura Real;Parador del Sol;24/01/2018;31/01/2018;40,39442;-3,7086;11010038
 C. ANTONIO LEYVA;Santa Lucrecia-Plaza de Fernandez Ladreda;Plaza de Fernandez Ladreda;24/01/2018;31/01/2018;40,38643;-3,717;11010980
 C. ANTONIO LEYVA;Santa Lucrecia-Plaza de Fernandez Ladreda;Santa Lucrecia;24/01/2018;31/01/2018;40,3865;-3,71707;11010981
 Av. OPORTO;Avenida de Abrantes-Plaza Fernandez Ladreda;Avenida de Abrantes;01/08/2018;08/08/2018;40,38522;-3,71869;11020660
 C. VALLE DE ORO;Portalegre-Argeso;Argeso;25/01/2018;01/02/2018;40,38721;-3,72496;11020862
 C. VIA, LA;Fernandez Ladreda (Pz.)-Santa Lucrecia;Santa Lucrecia;24/01/2018;31/01/2018;40,38579;-3,7188;11021120
 C. JACINTO VERDAGUER;Lola Membrives-Antonio Leyva;Lola Membrives;17/05/2018;24/05/2018;40,39591;-3,7155;11022127
 C. JACINTO VERDAGUER;Lola Membrives-Antonio Leyva;Antonio Leyva;17/05/2018;24/05/2018;40,396;-3,71559;11022128
 C. Mercedes Arteaga;C VIRGEN DE BELEN-C RADIO;C RADIO;25/01/2018;01/02/2018;40,39147;-3,72282;11022231
 C. Mercedes Arteaga;C VIRGEN DE BELEN-C RADIO;C VIRGEN DE BELEN;25/01/2018;01/02/2018;40,39147;-3,72282;11022232
 C. VIA;Santa Lucrecia-Portalegre;Portalegre;25/01/2018;01/02/2018;40,38613333;-3,72005;11023394
C. Vía Carpetana;Ateca-Avenida Nuestra Senora de Valvanera;Ateca;12/04/2018;19/04/2018;40,39343;-3,74028;11030961
C. Vía Carpetana;Ateca-Avenida Nuestra Senora de Valvanera;Avenida Nuestra Senora de Valvanera;12/04/2018;19/04/2018;40,39343;-3,74028;11030962
 C. ERVIGIO;C ALARICO-C AMALARICO;C AMALARICO;19/04/2018;26/04/2018;40,39463;-3,73145;11031984
 C. VIA CARPETANA;Avenida Nuestra Senora de Valvanera-La Laguna;La Laguna;12/04/2018;19/04/2018;40,39223;-3,74158;11040870
 C. VIA CARPETANA;Avenida Nuestra Senora de Valvanera-La Laguna;Avenida Nuestra Senora de Valvanera;12/04/2018;19/04/2018;40,39223;-3,74158;11040871
 C. GENERAL RICARDOS;Monsenor Oscar Romero-Eugenia de Montijo;Eugenia de Montijo;15/01/2018;22/01/2018;40,38135;-3,74459;11041349
 C. OCA;Pinzon-Tintas;Pinzon;26/01/2018;02/02/2018;40,38883;-3,74059;11041461
 C. OCA;Pinzon-Tintas;Tintas;26/01/2018;02/02/2018;40,38883;-3,74059;11041462
 C. INGENIEROS;Glorieta del Ejercito-Juan Alonso;Juan Alonso;26/01/2018;02/02/2018;40,38725;-3,7463;11042106
 C. NUESTRA SENORA DE LA LUZ;Avenida Nuestra Senora de Fatima-Camino de los Ingenieros;Nuestra Senora de Fatima;26/01/2018;02/02/2018;40,38471;-3,74753;11042274
 C. NUESTRA SENORA DE LA LUZ;Avenida Nuestra Senora de Fatima-Camino de los Ingenieros;Camino de los Ingenieros;26/01/2018;02/02/2018;40,38471;-3,74753;11042275
 C. PINGšINO;Parque Eugenia de Montijo-Avenida Nuestra Senora de Fatima;Avenida Nuestra Senora de Fatima;26/01/2018;02/02/2018;40,37999;-3,75041;11042340
 C. PINGšINO;Parque Eugenia de Montijo-Avenida Nuestra Senora de Fatima;Parque Eugenia de Montijo;26/01/2018;02/02/2018;40,37999;-3,75041;11042341
 C. CARCASTILLO;Besolla-Padre Amigo;Padre Amigo;26/01/2018;02/02/2018;40,37752;-3,73806;11051804
 C. CARCASTILLO;Besolla-Padre Amigo;Besolla;26/01/2018;02/02/2018;40,37752;-3,73806;11051805
 C. CLARA CAMPOAMOR;Ademuz-Avefria;Ademuz;26/01/2018;31/01/2018;40,38395;-3,73338;11051854
 C. CLARA CAMPOAMOR;Ademuz-Avefria;Avefria;26/01/2018;31/01/2018;40,38393;-3,73348;11051855
 C. CAMINO VIEJO DE LEGANES;Alejandro Morán-Félix López;Félix López;29/01/2018;03/02/2018;40,38488;-3,72854;11052747
 C. CAMINO VIEJO DE LEGANES;Alejandro Morán-Félix López;Alejandro Morán;29/01/2018;03/02/2018;40,38488;-3,72854;11052748
 Carretera LEGANES;Via Lusitana-Del Thaler;Via Lusitana;29/01/2018;04/02/2018;40,37158;-3,73669;11060556
 Carretera LEGANES;Via Lusitana-Del Thaler;Del Thaler;29/01/2018;04/02/2018;40,37158;-3,73669;11060557
 Carretera LEGANES - VIA LUSITANA;M-40-Avenida de la Peseta;M-40;29/01/2018;05/02/2018;40,36279;-3,74415;11060558
 Carretera LEGANES - VIA LUSITANA;M-40-Avenida de la Peseta;Avenida de la Peseta;29/06/2018;06/07/2018;40,36291;-3,744;11060559
Lateral Carretera LEGANES - VIA LUSITANA;M-40-Avenida de la Peseta;M-40;29/01/2018;05/02/2018;40,36279;-3,74415;11060560
Lateral Carretera LEGANES - VIA LUSITANA;M-40-Avenida de la Peseta;Avenida de la Peseta;29/01/2018;05/02/2018;40,36291;-3,744;11060561
 Av. Carabanchel Alto;Calle Enrique Mart¡nez-Calle Allariz;Calle Enrique Mart¡nez;31/01/2018;07/02/2018;40,36542;-3,75363;11060995
 Av. Carabanchel Alto;Calle Enrique Mart¡nez-Calle Allariz;Calle Allariz;31/01/2018;07/02/2018;40,36542;-3,75363;11060996
 C. AGUACATE;Muguett-Secoya;Secoya;30/01/2018;05/02/2018;40,36997;-3,74509;11061612
 C. AGUACATE;Muguett-Secoya;Muguett;30/01/2018;05/02/2018;40,36997;-3,74509;11061613
 C. CAMINO DE LAS CRUCES;Condesa de Teba-Mascaraque;Mascaraque;04/11/2018;11/11/2018;40,37384;-3,7563;11061769
 C. CAMINO DE LAS CRUCES;Condesa de Teba-Mascaraque;Condesa de Teba;04/11/2018;11/11/2018;40,37384;-3,7563;11061770
 Av. PESETA, LA;Los Morales-Avenida Carabanchel Alto;Los Morales;30/01/2018;06/02/2018;40,36213;-3,75553;11062336
 Av. EURO;Croat-Maravedí;Croat;30/01/2018;05/02/2018;40,36436;-3,74921;11062949
 Av. EURO;Croat-Maravedí;Maravedí;30/01/2018;05/02/2018;40,36436;-3,74921;11062950
 Av. EURO;Óbolo-Pepión;Pepión;30/01/2018;07/02/2018;40,37019;-3,73937;11062952
 C. GUAYABA;Ciruela-Guayaba;Guayaba;12/04/2018;19/04/2018;40,37185;-3,747366667;11063047
 C. MARAVEDI;Avenida del Euro-Cidro;Avenida del Euro;31/01/2018;07/02/2018;40,36496;-3,74861;11063174
 C. MARAVEDI;Avenida del Euro-Cidro;Cidro;31/01/2018;07/02/2018;40,36496;-3,74861;11063175
 C. TULIPERO;Haya-Cidro;Cidro;01/02/2018;08/02/2018;40,36703;-3,74654;11063372
 C. TULIPERO;Haya-Cidro;Haya;01/02/2018;08/02/2018;40,36703;-3,74654;11063373
Lateral C. VIA LUSITANA;Besolla-Avenida de Los Poblados;Ontanilla;13/04/2018;20/04/2018;40,37502;-3,73269;11070874
Lateral C. VIA LUSITANA;Besolla-Avenida de Los Poblados;Avenida de Los Poblados;13/04/2018;20/04/2018;40,37502;-3,73269;11070875
Lateral C. VIA LUSITANA;Ontanilla-Avenida de los Poblados;Ontanilla;13/04/2018;20/04/2018;40,37503;-3,73208;11070876
 C. VIA LUSITANA;Ontanilla-Avenida de Los Poblados;Ontanilla;13/04/2018;20/04/2018;40,37477;-3,73268;11070877
 C. VIA LUSITANA;Plaza Fernandez Ladreda-Braganza;Braganza;01/08/2018;08/08/2018;40,38437;-3,71893;11070879
 C. VIA LUSITANA;Plaza Fernandez Ladreda-Braganza;Plaza Fernandez Ladreda;01/08/2018;08/08/2018;40,38437;-3,71893;11070880
 C. VIA LUSITANA;Cazalegas-Ontanilla;Cazalegas;13/04/2018;20/04/2018;40,37589;-3,73179;11071596
 C. VIA LUSITANA;Cazalegas-Ontanilla;Ontanilla;13/04/2018;20/04/2018;40,37589;-3,73179;11071597
Lateral C. VIA LUSITANA;Cazalegas-Ontanilla;Ontanilla;01/02/2018;08/02/2018;40,37567;-3,73115;11071598
 Av. ABRANTES;Camino Viejo de Leganes-Besolla;Camino Viejo de Leganes;01/02/2018;08/02/2018;40,37632;-3,73396;11071604
 Av. ABRANTES;Camino Viejo de Leganes-Besolla;Besolla;01/02/2018;08/02/2018;40,37647;-3,73399;11071605
 Av. ABRANTES;Portalegre-Avenida Oporto;Portalegre;01/02/2018;08/02/2018;40,38428;-3,72332;11071608
 Av. ABRANTES;Portalegre-Avenida Oporto;Avenida Oporto;01/02/2018;08/02/2018;40,38428;-3,72332;11071609
 C. CARCASTILLO;Besolla-Camino Viejo de Leganes;Camino Viejo de Leganes;26/01/2018;02/02/2018;40,3781;-3,73625;11071802
 C. CARCASTILLO;Besolla-Camino Viejo de Leganes;Besolla;26/01/2018;02/02/2018;40,3781;-3,73625;11071803
 C. PORTALEGRE;Avenida de Oporto-Avenida de Abrantes;Avenida de Abrantes;01/02/2018;08/02/2018;40,38484;-3,72378;11072364
 C. PORTALEGRE;Avenida de Oporto-Avenida de Abrantes;Avenida de Oporto;01/02/2018;08/02/2018;40,38473;-3,72375;11072365
 C. VIEJO DE LEGANES;Pelicano-Avefria;Pelicano;01/02/2018;08/02/2018;40,38405;-3,72899;11072599
 C. VIEJO DE LEGANES;Pelicano-Avefria;Avefria;01/02/2018;08/02/2018;40,38405;-3,72899;11072600
 Av. RAFAELA YBARRA;Leiza-Deva;Leiza;20/04/2018;27/04/2018;40,37038;-3,71244;12010744
 C. GAINZA;Regil-Segura;Segura;28/06/2018;05/07/2018;40,36834;-3,7188;12013001
 Av. CORDOBA;Doctor Tolosa Latour-Glorieta de Malaga;Doctor Tolosa Latour;02/02/2018;09/02/2018;40,37807;-3,69615;12020321
