Parque distribuido por tipo de vehículo, carburante y año de matriculación.
Comunidad Autónoma/Provincia residencia: Madrid (Comunidad de)/Madrid
Tipo de Vehículo: AUTOBUSES, CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, CICLOMOTORES, FURGONETAS, MOTOCICLETAS, REMOLQUES, SEMIRREMOLQUES, TRACTORES INDUSTRIALES, TURISMOS
Carburante: Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel
Antigüedad Matriculación: 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Antigüedad Matriculación;Total
TOTAL;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;2011;4
TOTAL;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;2012;2
TOTAL;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;2013;10
TOTAL;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;2014;2
TOTAL;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;2015;10
TOTAL;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;2016;21
TOTAL;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;2017;60
TOTAL;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;2018;246
TOTAL;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;2019;514
TOTAL;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;2020;284
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Comprimido;TOTAL;594
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2003;1
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2006;1
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2007;1
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2008;4
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2009;10
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2010;2
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2011;2
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2012;4
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2013;24
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2014;7
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2015;50
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2016;15
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2017;50
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2018;85
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2019;199
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2020;139
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Licuado;TOTAL;1
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Licuado;2018;1
TOTAL;CAMIONES HASTA 3500kg;Gasolina;TOTAL;2716
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2000;113
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2001;177
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2002;209
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2003;200
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2004;183
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2005;159
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2006;277
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2007;246
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2008;133
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2009;107
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2010;69
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2011;42
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2012;27
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2013;37
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2014;44
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2015;77
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2016;65
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2017;67
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2018;140
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2019;240
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2020;104
TOTAL;CAMIONES HASTA 3500kg;Sin especificar;TOTAL;3
TOTAL;CAMIONES HASTA 3500kg;Sin especificar;2015;2
TOTAL;CAMIONES HASTA 3500kg;Sin especificar;2017;1
TOTAL;CAMIONES MÁS DE 3500kg;TOTAL;TOTAL;26506
TOTAL;CAMIONES MÁS DE 3500kg;Diesel;TOTAL;25263
TOTAL;CAMIONES MÁS DE 3500kg;Diesel;2000;873
TOTAL;CAMIONES MÁS DE 3500kg;Diesel;2001;1016
TOTAL;CAMIONES MÁS DE 3500kg;Diesel;2002;1073
TOTAL;CAMIONES MÁS DE 3500kg;Diesel;2003;1285
TOTAL;CAMIONES MÁS DE 3500kg;Diesel;2004;1324
TOTAL;CAMIONES MÁS DE 3500kg;Diesel;2005;1716
TOTAL;CAMIONES MÁS DE 3500kg;Diesel;2006;1788
TOTAL;CAMIONES MÁS DE 3500kg;Diesel;2007;1934
TOTAL;CAMIONES MÁS DE 3500kg;Diesel;2008;1561
TOTAL;CAMIONES MÁS DE 3500kg;Diesel;2009;678
TOTAL;CAMIONES MÁS DE 3500kg;Diesel;2010;774
TOTAL;CAMIONES MÁS DE 3500kg;Diesel;2011;744
TOTAL;CAMIONES MÁS DE 3500kg;Diesel;2012;557
TOTAL;CAMIONES MÁS DE 3500kg;Diesel;2013;476
TOTAL;CAMIONES MÁS DE 3500kg;Diesel;2014;643
TOTAL;CAMIONES MÁS DE 3500kg;Diesel;2015;977
TOTAL;CAMIONES MÁS DE 3500kg;Diesel;2016;1435
TOTAL;CAMIONES MÁS DE 3500kg;Diesel;2017;1497
TOTAL;CAMIONES MÁS DE 3500kg;Diesel;2018;1825
TOTAL;CAMIONES MÁS DE 3500kg;Diesel;2019;1717
TOTAL;CAMIONES MÁS DE 3500kg;Diesel;2020;1370
TOTAL;CAMIONES MÁS DE 3500kg;Eléctrico;TOTAL;20
TOTAL;CAMIONES MÁS DE 3500kg;Eléctrico;2012;1
TOTAL;CAMIONES MÁS DE 3500kg;Eléctrico;2016;1
TOTAL;CAMIONES MÁS DE 3500kg;Eléctrico;2017;2
TOTAL;CAMIONES MÁS DE 3500kg;Eléctrico;2018;3
TOTAL;CAMIONES MÁS DE 3500kg;Eléctrico;2019;12
TOTAL;CAMIONES MÁS DE 3500kg;Eléctrico;2020;1
TOTAL;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;TOTAL;76
TOTAL;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2004;1
TOTAL;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2006;1
TOTAL;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2007;1
TOTAL;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2008;1
TOTAL;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2009;2
TOTAL;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2010;7
TOTAL;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2011;4
TOTAL;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2013;4
TOTAL;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2014;3
TOTAL;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2015;7
TOTAL;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2016;4
TOTAL;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2017;9
TOTAL;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2018;3
TOTAL;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2019;9
TOTAL;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2020;20
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;TOTAL;987
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2001;1
TOTAL;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2002;6
